BrandName,Condition,Drug,GenName,HowtoUse,Use
,acne,Aczone Topical,Dapsone,,
Xerese,"genital herpes, recurrent cold sore, an infection due to a virus",Acyclovir-Hydrocortisone Cream,Acyclovir-Hydrocortisone,"Read the Patient Information Leaflet if available from your pharmacist before you start using this medication and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Use this medication at the first sign of a cold sore. Wash your hands with soap and water before and after applying this medication. Clean and dry the affected area before applying the medication. Apply a thin layer on the affected area as directed by your doctor, usually 5 times a day (every 3 to 4 hours) for 5 days. Apply enough cream to cover all affected areas. Do not rub the area because it may spread to other areas around your mouth or make your cold sore worse. Do not apply other skin products (including make-up, sunscreen, or lip balm) or cover the affected area with a bandage. To prevent washing off the medication, do not bathe, shower, or swim for 30 minutes after application.Do not apply this medication in the eyes or nose, inside the mouth, or on the genitals.Cold sores (herpes) can spread easily. Acyclovir/hydrocortisone cream does not prevent the spread of herpes. Avoid sharing eating utensils, cups, razors, or towels during an outbreak. Also, try not to touch the cold sore (including kissing), and wash your hands if you do touch the cold sore.Use this product regularly to get the most benefit from it. Tell your doctor if your condition persists or worsens after 2 weeks.","This medication contains 2 ingredients: acyclovir and hydrocortisone. It is used to treat cold sores/fever blisters caused by a virus (herpes simplex). Acyclovir is an antiviral medication that works by stopping the growth of the virus. Hydrocortisone is a corticosteroid that helps relieve itching, pain, and burning symptoms. This medication can speed up healing of cold sores, but it does not cure herpes or prevent passing the infection to someone else. It also does not prevent cold sores from returning."
Sitavig,a cold sore,"Acyclovir Tablet, Buccal, Muco-Adhesive",Acyclovir,"Read the Patient Information Leaflet and Instructions for Use provided by your pharmacist before you start using acyclovir buccal tablets and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Apply one tablet within one hour after you have the first symptom of a cold sore, and before a cold sore appears. Symptoms may include itching, redness, burning, or tingling. Apply the tablet on the same side of your mouth as the cold sore symptoms.Before applying the tablet, find the area in your mouth in which to place the tablet. It should be placed on the upper gum, just above the left or right incisor tooth. The incisors are the teeth just to the left and right of your two front teeth. With dry hands, remove one tablet from the blister pack and place it in your mouth with the round side facing against your gum and gently push it into place. Remove your hand from inside your mouth and gently press your finger on the outside of your upper lip for 30 seconds. This will make the tablet stick to your gum. The tablet will slowly dissolve over time and should be left in place. You may eat and drink while using this medication. Do not crush, chew, suck, or swallow the tablet.If the tablet does not stick to your upper gum or falls off within the first 6 hours after you apply it, the same tablet should be placed back onto your upper gum right away. If it still does not stay in place, apply another acyclovir tablet to your upper gum.If you accidentally swallow the tablet within the first 6 hours after placement, drink a glass of water and apply a new dose to your gum. However, if the tablet has been in place 6 hours or longer and it falls out or you swallow it, do not re-apply the tablet.Avoid doing things that may keep the buccal tablet from sticking to your gum, including touching or pressing the tablet after placement, wearing an upper denture that interferes with tablet placement, chewing gum, and brushing your teeth while the tablet is in place. You may gently rinse your mouth with water to clean your teeth while the tablet is in place. Drink plenty of liquids if you have dry mouth.This medication works best when started at the first sign of a cold sore, as directed by your doctor. It may not work as well if you delay treatment.Tell your doctor if your condition does not improve or if it worsens.","This medication is used to treat cold sores around the mouth (caused by herpes virus) that keep coming back.Acyclovir is an antiviral drug. However, it is not a cure for the infection. The virus that causes infection continues to live in the body between outbreaks. Acyclovir makes outbreaks shorter and less severe. It helps the sores heal faster, keeps new sores from forming, and decreases pain/itching. This medication may also help reduce how long pain lasts after the sores heal."
,"Crohn's disease, polyarticular juvenile idiopathic arthritis, rheumatoid arthritis, ulcerative colitis, an inflammatory condition of the intestines, ulcerative colitis currently without symptoms","Azulfidine Tablet, Delayed Release (Enteric Coated)",Sulfasalazine,"Take this medication by mouth after meals with a full glass of water (8 ounces or 240 milliliters) or as directed by your doctor. To prevent stomach upset, your doctor may recommend a slow increase in your dosage when starting treatment. Dosage is based on your medical condition and response to therapy. In children, dosage is also based on weight.If you are taking the delayed-release tablets, swallow them whole. Do not crush, chew, or break the tablets. Doing so may increase the chance of stomach upset.Drink plenty of fluids during treatment with this medication unless otherwise directed by your doctor. This will help prevent kidney stones.Take this medication regularly to get the most benefit from it. To help you remember, take it at the same times each day.Inform your doctor if your condition does not improve or if it worsens. For the treatment of rheumatoid arthritis, it may take 1-3 months before you notice any improvement in your symptoms.","Sulfasalazine is used to treat a certain type of bowel disease called ulcerative colitis. This medication does not cure this condition, but it helps decrease symptoms such as fever, stomach pain, diarrhea, and rectal bleeding. After an attack is treated, sulfasalazine is also used to increase the amount of time between attacks. This medication works by reducing irritation and swelling in the large intestines.In addition, delayed-release tablets of sulfasalazine are used to treat rheumatoid arthritis. Sulfasalazine helps to reduce joint pain, swelling, and stiffness. Early treatment of rheumatoid arthritis with sulfasalazine helps to reduce/prevent further joint damage so you can do more of your normal daily activities. This medication is used with other drugs, rest, and physical therapy in patients who have not responded to other medications (salicylates, nonsteroidal anti-inflammatory drugs-NSAIDs)."
,"abnormally long or heavy periods, abnormal bleeding from the uterus, pain with menstruation, premenstrual disorder with a state of unhappiness, birth control, polycystic ovarian syndrome, a disease with cysts in the ovaries, acne, low levels of female hormones in the body called hypogonadism, absence of menstrual periods",Azurette,Desog-E.Estradiol/E.Estradiol,"Read the Patient Information Leaflet provided by your pharmacist before you start using this product and each time you get a refill. The leaflet contains very important information on when to take your pills and what to do if you miss a dose. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth as directed by your doctor, usually once daily. Pick a time of day that is easy for you to remember, and take your pill at the same time each day.It is very important to continue taking this medication exactly as prescribed by your doctor. Follow the package instructions to find the first tablet, start with the first tablet in the pack, and take them in the correct order. Do not skip any doses. Pregnancy is more likely if you miss pills, start a new pack late, or take your pill at a different time of the day than usual.Taking this medication after your evening meal or at bedtime may help if you have stomach upset or nausea with the medication. You may choose to take this medication at another time of day that is easier for you to remember. No matter what dosing schedule you use, it is very important that you take this medication at the same time each day, 24 hours apart. Ask your doctor or pharmacist if you have any questions.Your pill pack contains 21 pills (enough for 3 weeks) with a combination of estrogen and progestin. The last week of the pack contains 2 reminder pills with no medication and 5 pills that have a low dose of estrogen. Take one active pill (with both hormones) once daily for 21 days in a row. After the combination pills are finished, continue taking 1 tablet daily, starting with the 2 reminder tablets and finishing with the 5 estrogen-only tablets, unless otherwise directed by your doctor. You should have your period during the fourth week of the pack. After you have taken the last estrogen-only tablet in the pack, start a new pack the next day whether or not you have your period. If you do not get your period, consult your doctor.If this is the first time you are using this medication and you are not switching from another form of hormonal birth control (such as patch, other birth control pills), take the first tablet in the pack on the first Sunday following the beginning of your menstrual period or on the first day of your period. If your period begins on a Sunday, begin taking this medication on that day. For the first cycle of use only, use an additional form of non-hormonal birth control (such as condoms, spermicide) for the first 7 days to prevent pregnancy until the medication has enough time to work. If you start on the first day of your period, you do not need to use back-up birth control the first week.Ask your doctor or pharmacist about how to switch from other forms of hormonal birth control (such as patch, other birth control pills) to this product. If any information is unclear, consult the Patient Information Leaflet or your doctor or pharmacist.","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (desogestrel) and an estrogen (ethinyl estradiol). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
,"vasomotor rhinitis, welt from pressure on skin, hives, stuffy nose, cough, added medication for life threatening allergic reaction, allergic conjunctivitis, itching, runny nose, inflammation of the nose due to an allergy, sneezing",Ahist,Chlorcyclizine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"psoriasis associated with arthritis, joint inflammatory disease in children and young adults, ulcerative colitis, an inflammatory condition of the intestines, ulcerative colitis currently without symptoms, Crohn's disease, rheumatoid arthritis, polyarticular juvenile idiopathic arthritis",Azulfidine,Sulfasalazine,"Take this medication by mouth after meals with a full glass of water (8 ounces or 240 milliliters) or as directed by your doctor. To prevent stomach upset, your doctor may recommend a slow increase in your dosage when starting treatment. Dosage is based on your medical condition and response to therapy. In children, dosage is also based on weight.If you are taking the delayed-release tablets, swallow them whole. Do not crush, chew, or break the tablets. Doing so may increase the chance of stomach upset.Drink plenty of fluids during treatment with this medication unless otherwise directed by your doctor. This will help prevent kidney stones.Take this medication regularly to get the most benefit from it. To help you remember, take it at the same times each day.Inform your doctor if your condition does not improve or if it worsens. For the treatment of rheumatoid arthritis, it may take 1-3 months before you notice any improvement in your symptoms.","Sulfasalazine is used to treat a certain type of bowel disease called ulcerative colitis. This medication does not cure this condition, but it helps decrease symptoms such as fever, stomach pain, diarrhea, and rectal bleeding. After an attack is treated, sulfasalazine is also used to increase the amount of time between attacks. This medication works by reducing irritation and swelling in the large intestines.In addition, delayed-release tablets of sulfasalazine are used to treat rheumatoid arthritis. Sulfasalazine helps to reduce joint pain, swelling, and stiffness. Early treatment of rheumatoid arthritis with sulfasalazine helps to reduce/prevent further joint damage so you can do more of your normal daily activities. This medication is used with other drugs, rest, and physical therapy in patients who have not responded to other medications (salicylates, nonsteroidal anti-inflammatory drugs-NSAIDs)."
,,Airshield,"Vit A,C And E-Dietary Suppl#12, Vit A,C,E-Min-Herbal Comp 221, Mv-Mn-Vitc-Asbna-Glu-Lys-Hc124",Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"cancer or malignancy, platelet-derived growth factor receptor alpha exon 18 mutation(+) gastrointestinal stromal tumor",Avapritinib 300 Mg Tablet,Avapritinib,"Read the Patient Information Leaflet if available from your pharmacist before you start taking avapritinib and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth on an empty stomach (at least 1 hour before or 2 hours after a meal) as directed by your doctor, usually once daily. If you vomit after taking a dose, do not take another dose. Take your next dose at the regular time.The dosage is based on your medical condition, response to treatment, and other medications you may be taking. Be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products).Avoid eating grapefruit or drinking grapefruit juice while using this medication unless your doctor or pharmacist says you may do so safely. Grapefruit can increase the chance of side effects with this medicine. Ask your doctor or pharmacist for more details.Take this medication regularly to get the most benefit from it. To help you remember, take it at the same time each day.Do not increase your dose or use this drug more often or for longer than prescribed. Your condition will not improve any faster, and your risk of serious side effects will increase.Since this drug can be absorbed through the skin and lungs and may harm an unborn baby, women who are pregnant or who may become pregnant should not handle this medication or breathe the dust from the tablets.","This medication is used to treat a certain type of stomach, bowel, or esophagus cancer (gastrointestinal stromal tumor-GIST). Avapritinib belongs to a class of drugs known as kinase inhibitors. It works by slowing or stopping the growth of cancer cells."
,,Auxipro Vanishing Cream,Cream Base No.170 (Bulk),Consult your pharmacist or physician.,Consult your pharmacist or physician.
